company,sector,priority,source
Blue River Technology,Robotics,A,database+pasted
Bonsai Robotics,Robotics,A,database
Bosch,,A,pasted
Bosch Rexroth,Controls & Automation,A,database+pasted
Boston Engineering,,A,pasted
Brainlab,MedTech,A,database+pasted
Bright Machines,Robotics,A,database
Brock Solutions,Controls & Automation,A,database
Built Robotics,Robotics,A,database
Burkert,Controls & Automation,A,database
Burns & McDonnell,Controls & Automation,A,database+pasted
Burns Engineering,,A,pasted
Burro,Robotics,A,database
Cala Health,MedTech,A,database
Calumet Electronics,PCB & Embedded,A,database+pasted
Cambridge Design Partnership,,A,pasted
Candor Industries,PCB & Embedded,A,database+pasted
Canvas,Robotics,A,database
Capsa Healthcare,,A,pasted
Carbon Robotics,Robotics,A,database+pasted
Cardinal Health,MedTech,A,database
CardioMEMS,MedTech,A,database
Cardiovascular Systems,MedTech,A,database
Cardiva Medical,MedTech,A,database
Cartesian,,A,pasted
Caterpillar Autonomy,Robotics,A,database
Ceribell,MedTech,A,database
Cerus,MedTech,A,database
Chart Industries,,A,pasted
CIM Systems,Controls & Automation,A,database
CIMA Automation,,A,pasted
Cirexx,PCB & Embedded,A,database+pasted
Cirexx International,PCB & Embedded,A,database+pasted
Cirtec Medical,MedTech,A,database+pasted
Clayton & McKervey Automation,Controls & Automation,A,database
Clearpath Robotics,Robotics,A,database+pasted
CMK Corporation,,A,pasted
Cochlear,MedTech,A,database
Cogniteam,Robotics,A,database
Coherent,PCB & Embedded,A,database
Collaborative Robotics,Robotics,A,database+pasted
Coloplast,MedTech,A,database
Comau,Robotics,A,database+pasted
Compunetics,PCB & Embedded,A,database+pasted
Compunetics PCB,PCB & Embedded,A,database
Control Assemblies Company,Controls & Automation,A,database
Control Resources,Controls & Automation,A,database
Control System Integrators,Controls & Automation,A,database
ControlAir,Controls & Automation,A,database
Convergint,,A,pasted
Conveyors & Drives,Controls & Automation,A,database
Copley Controls,,A,pasted
Corindus Vascular Robotics,MedTech,A,database
Credo,,A,pasted
Crenlo Engineered Cabs,,A,pasted
Cretex Companies,,A,pasted
Cretex Medical,,A,pasted
Cummins,,A,pasted
Cummins Power Generation,,A,pasted
Cutera,MedTech,A,database
Cyberdyne,MedTech,A,database
Cybernet Systems,,A,pasted
Cybertrol Engineering,Controls & Automation,A,database+pasted
Cyngn,Robotics,A,database
Cynosure,MedTech,A,database
Daikin Applied,,A,pasted
DaVita Medical Group,MedTech,A,database
DEKA Research & Development,,A,pasted
Delkor Systems,,A,pasted
Delta Electronics,Controls & Automation,A,database
DENSO Robotics,Robotics,A,database+pasted
Dentsply Sirona,MedTech,A,database
Design Ready Controls,Controls & Automation,A,database+pasted
Dexterity,Robotics,A,database
Digi International,PCB & Embedded,A,database+pasted
Digi-Key Electronics,PCB & Embedded,A,database
Divergent Technologies,,A,pasted
Donaldson Company,,A,pasted
Doosan Robotics,Robotics,A,database+pasted
Dorsett Controls,Controls & Automation,A,database
Draeger Medical,MedTech,A,database
DuPont,,A,pasted
Dusty Robotics,Robotics,A,database
Eargo,MedTech,A,database
EarthSense,Robotics,A,database
Eaton,Controls & Automation,A,database+pasted
Edan Instruments,MedTech,A,database
Efinix,PCB & Embedded,A,database+pasted
Egan Company,Controls & Automation,A,database+pasted
Ekso Bionics,MedTech,A,database+pasted
Electric Machinery Company,,A,pasted
Elmo Motion Control,,A,pasted
Embecta,MedTech,A,database
Emerson,Controls & Automation,A,database+pasted
Emerson Automation Solutions,Controls & Automation,A,database
Endotronix,MedTech,A,database
Endress+Hauser,Controls & Automation,A,database
Energid Technologies,Robotics,A,database+pasted
Energous,,A,pasted
Entegris,,A,pasted
Epec Engineered Technologies,PCB & Embedded,A,database+pasted
EPIC Systems Group,Controls & Automation,A,database
ESC Automation,Controls & Automation,A,database
Estun Automation,,A,pasted
Ethicon,MedTech,A,database
Eurocircuits,PCB & Embedded,A,database+pasted
Ewellix,,A,pasted
FANUC America,Robotics,A,database+pasted
Farm-ng,Robotics,A,database
FarmWise,Robotics,A,database
Festo,Controls & Automation,A,database+pasted
Fetch Robotics,Robotics,A,database+pasted
Feyen Zylstra,Controls & Automation,A,database
Field AI,Robotics,A,database
Figure AI,Robotics,A,database
Firan Technology Group,PCB & Embedded,A,database+pasted
Fisher Controls,Controls & Automation,A,database
Flexiv,Robotics,A,database
Fluke,,A,pasted
FormFactor,PCB & Embedded,A,database+pasted
FORT Robotics,Robotics,A,database+pasted
Fortive,Controls & Automation,A,database
ForwardX Robotics,Robotics,A,database
FOTONIQ,Robotics,A,database
Foxboro,Controls & Automation,A,database
Foxconn Industrial Internet,,A,pasted
Franka Robotics,,A,pasted
Fresenius Medical Care,MedTech,A,database
Fuji Electric,Controls & Automation,A,database
Fujisoft,,A,pasted
Future Electronics,PCB & Embedded,A,database
Galvani Bioelectronics,MedTech,A,database
GE Vernova,,A,pasted
Gecko Robotics,Robotics,A,database
Geek+,,A,pasted
Geekplus,Robotics,A,database
General Dynamics Mission Systems,,A,pasted
Genesis Robotics,Robotics,A,database+pasted
Gillette Children's (Biomedical Engineering),,A,pasted
Glidewell Robotics,Robotics,A,database
Globus Medical,MedTech,A,database
Gold Phoenix PCB,PCB & Embedded,A,database+pasted
Graco,,A,pasted
Great River Energy,,A,pasted
Green Circuits,PCB & Embedded,A,database+pasted
GreyOrange,Robotics,A,database+pasted
H.B. Fuller,,A,pasted
Hach,Controls & Automation,A,database
Haddington Dynamics,Robotics,A,database
HAHN Automation,Controls & Automation,A,database+pasted
Hai Robotics,Robotics,A,database
Halodi Robotics,Robotics,A,database
Harmonic Drive,Robotics,A,database+pasted
Harvest Automation,Robotics,A,database
HDR,,A,pasted
Heilind Electronics,PCB & Embedded,A,database
HistoSonics,MedTech,A,database
Hitachi Industrial Equipment,Controls & Automation,A,database
Hiwin Technologies,,A,pasted
Honeywell,Controls & Automation,A,database+pasted
Honeywell Experion,Controls & Automation,A,database
Honeywell Process Solutions,Controls & Automation,A,database
Horton Holding,,A,pasted
Humatics,Robotics,A,database+pasted
Husqvarna Robotics,Robotics,A,database
Hyundai Robotics,Robotics,A,database
IAM Robotics,Robotics,A,database+pasted
ICU Medical,MedTech,A,database
Ignition by Inductive Automation,Controls & Automation,A,database
Igus,,A,pasted
ImageTrend,,A,pasted
Imagineering,PCB & Embedded,A,database+pasted
Impossible Metals,Robotics,A,database
Imricor Medical Systems,,A,pasted
Inari Medical,MedTech,A,database
Indium Corporation,PCB & Embedded,A,database
Ingenia Motion Control,,A,pasted
Innovative Control Systems,,A,pasted
Inspire Medical Systems,MedTech,A,database
Integer Holdings,MedTech,A,database+pasted
Integra,MedTech,A,database
Integra LifeSciences,MedTech,A,database
Integro Technologies,Controls & Automation,A,database
Intel PSG,,A,pasted
Intersect ENT,MedTech,A,database
Interstates,Controls & Automation,A,database
IntriCon,,A,pasted
Intuitive Surgical,MedTech,A,database+pasted
inVia Robotics,Robotics,A,database
IRadimed,MedTech,A,database
iRobot,Robotics,A,database
iSchemaView,MedTech,A,database
Jabil,PCB & Embedded,A,database+pasted
Jacobs,Controls & Automation,A,database+pasted
JHFOSTER,,A,pasted
Johnstech International,,A,pasted
Kassow Robots,Robotics,A,database
Kawasaki Robotics,Robotics,A,database
KEB America,Controls & Automation,A,database+pasted
KEB Automation,,A,pasted
Keyence,Controls & Automation,A,database+pasted
Kimley-Horn,,A,pasted
Kindeva Drug Delivery,MedTech,A,database+pasted
Kinova Robotics,Robotics,A,database+pasted
Kion Group,Robotics,A,database+pasted
Knightscope,Robotics,A,database
Kodiak AI,Robotics,A,database
Kollmorgen,Controls & Automation,A,database+pasted
Krohne,Controls & Automation,A,database
Kuka,,A,pasted
Labcorp Device Engineering,,A,pasted
Lake Air Companies,,A,pasted
Lakeshirts Automation,,A,pasted
Lattice Semiconductor,PCB & Embedded,A,database+pasted
Legrand,,A,pasted
Lely,Robotics,A,database
LinMot,,A,pasted
LivaNova,MedTech,A,database
Locus Robotics,Robotics,A,database+pasted
Logic PD,,A,pasted
Loram Maintenance of Way,,A,pasted
M.E. Simpson,,A,pasted
Machina Labs,Robotics,A,database
Maclean Power Systems,,A,pasted
Magazino,Robotics,A,database
Magstim,MedTech,A,database
MagVenture,MedTech,A,database
Markforged,,A,pasted
Marvell,PCB & Embedded,A,database+pasted
Marvin,,A,pasted
Masimo,MedTech,A,database
Matrix Technologies,Controls & Automation,A,database+pasted
Maxon,,A,pasted
Mayer Electric Supply,,A,pasted
McEnery Automation,Controls & Automation,A,database
MEC (Mayville Engineering Company),,A,pasted
Mecademic,Robotics,A,database
Mecademic Robotics,,A,pasted
Mechatronic Solutions,Controls & Automation,A,database+pasted
Medical Microinstruments,Robotics,A,database+pasted
Medline Industries,MedTech,A,database
Medtronic,MedTech,A,database+pasted
Mendaera,Robotics,A,database+pasted
Mersen,,A,pasted
Metalcraft of Mayville,,A,pasted
Micro Control Company,,A,pasted
Microchip FPGA,,A,pasted
Microchip Technology,PCB & Embedded,A,database+pasted
MicroVision,,A,pasted
Mikros Technologies,,A,pasted
Millerbernd Manufacturing,,A,pasted
Milrem Robotics,Robotics,A,database
Milwaukee Tool,,A,pasted
Mindray,MedTech,A,database
Mitsubishi Electric Automation,Controls & Automation,A,database+pasted
Mitsubishi Electric Factory Automation,,A,pasted
Mobile Industrial Robots (MiR),Robotics,A,database+pasted
Molex,PCB & Embedded,A,database+pasted
Monarch Tractor,Robotics,A,database
Motional,Robotics,A,database
Motional Robotics,Robotics,A,database
Mouser Electronics,PCB & Embedded,A,database
MSS Solutions,Controls & Automation,A,database
MTS Systems,,A,pasted
Mujin,Robotics,A,database
MultiSource Manufacturing,,A,pasted
Myomo,MedTech,A,database+pasted
Nachi Robotics,Robotics,A,database+pasted
Nalu Medical,MedTech,A,database
Nanotec,,A,pasted
Napatech,,A,pasted
National Instruments,PCB & Embedded,A,database+pasted
Natus Medical,MedTech,A,database
Navitas Semiconductor,PCB & Embedded,A,database
NCAB Group,PCB & Embedded,A,database+pasted
Near Earth Autonomy,Robotics,A,database
Neles,Controls & Automation,A,database
Neocis,Robotics,A,database+pasted
Neura Robotics,Robotics,A,database+pasted
NeuroOne Medical Technologies,MedTech,A,database
NeuroPace,MedTech,A,database
New Scale Robotics,Robotics,A,database+pasted
Nihon Kohden,MedTech,A,database
Nilfisk,,A,pasted
Nomagic,Robotics,A,database
NORD Drivesystems,Controls & Automation,A,database
Nord Modules,,A,pasted
Nordson MEDICAL,,A,pasted
Nortech Systems,PCB & Embedded,A,database+pasted
Northern Technologies International Corporation,,A,pasted
Novanta,PCB & Embedded,A,database+pasted
Novanta IMS,,A,pasted
nVent,,A,pasted
O'Brien,Controls & Automation,A,database
Ocado Technology,Robotics,A,database
Ocean Infinity,Robotics,A,database
Omnicell,MedTech,A,database+pasted
Omron Automation,Controls & Automation,A,database+pasted
Omron Robotics,Robotics,A,database
OnRobot,Robotics,A,database+pasted
Onsemi,PCB & Embedded,A,database+pasted
Open Robotics,Robotics,A,database+pasted
Optimation Technology,Controls & Automation,A,database
Osaro,Robotics,A,database
OSI Electronics,PCB & Embedded,A,database+pasted
OSIsoft,Controls & Automation,A,database
OTSI,,A,pasted
Outrider,Robotics,A,database
Outset Medical,MedTech,A,database
Owens & Minor,MedTech,A,database
PA Solutions,Controls & Automation,A,database
PAR Systems,Controls & Automation,A,database+pasted
Paradromics,MedTech,A,database
Parallel Systems,Robotics,A,database
Parker Hannifin,Controls & Automation,A,database+pasted
Parvalux,,A,pasted
PBC Linear,,A,pasted
PCEA,,A,pasted
PeakLogix,Controls & Automation,A,database
Pepperl+Fuchs,Controls & Automation,A,database+pasted
Percepto,Robotics,A,database
Performance Motion Devices,,A,pasted
PerkinElmer,MedTech,A,database
Philips Healthcare,MedTech,A,database
Phillips & Temro Industries,,A,pasted
Phoenix Contact,Controls & Automation,A,database+pasted
Piab,,A,pasted
Piab Robotics,Robotics,A,database
Pickle Robot,Robotics,A,database
PickNik Robotics,Robotics,A,database+pasted
Pilz,,A,pasted
Plexus,PCB & Embedded,A,database+pasted
Plexus Neenah,PCB & Embedded,A,database
Plus One Robotics,Robotics,A,database
PNC Inc.,PCB & Embedded,A,database+pasted
Polar Semiconductor,,A,pasted
Polaris,,A,pasted
Polymath Robotics,Robotics,A,database
Power Engineers,,A,pasted
Power System Engineering (PSE),,A,pasted
Precision PCB Services,,A,pasted
Precision Robotics,,A,pasted
Premier Automation,Controls & Automation,A,database
Prodrive Technologies,,A,pasted
Proto Labs,,A,pasted
Pudu Robotics,Robotics,A,database
Pulse Biosciences,MedTech,A,database
Quality Tech Services (QTS),,A,pasted
RapidAI,MedTech,A,database
Rapyuta Robotics,Robotics,A,database
Realtime Robotics,Robotics,A,database+pasted
RedViking,Controls & Automation,A,database+pasted
Regal Rexnord,,A,pasted
Rehab Robotics,MedTech,A,database
Reko International,Controls & Automation,A,database
Reliable Robotics,Robotics,A,database
Renishaw,,A,pasted
Reshape Biotech,Robotics,A,database
Resideo,,A,pasted
ReWalk,MedTech,A,database
ReWalk Robotics,MedTech,A,database
RFA Engineering,,A,pasted
RightHand Robotics,Robotics,A,database+pasted
Ritalka,,A,pasted
RMS Company,,A,pasted
RoboDK,Robotics,A,database+pasted
RoboSense,Robotics,A,database
Roboteq,,A,pasted
Robotiq,Robotics,A,database+pasted
Robust AI,Robotics,A,database
Rockwell Automation,Controls & Automation,A,database+pasted
Rokae Robotics,Robotics,A,database+pasted
Roper Technologies,,A,pasted
Rosemount,,A,pasted
RoviSys,Controls & Automation,A,database+pasted
SAGE Group,Controls & Automation,A,database
Saline Lectronics,PCB & Embedded,A,database
Samtec,PCB & Embedded,A,database+pasted
Sanmina,PCB & Embedded,A,database+pasted
Sarcos Technology,Robotics,A,database
Saturn Systems,,A,pasted
Savioke,Robotics,A,database
Schneider Electric,Controls & Automation,A,database+pasted
SCHUNK,Robotics,A,database+pasted
Screaming Circuits,PCB & Embedded,A,database+pasted
Scythe Robotics,Robotics,A,database
Seagate Technology,,A,pasted
Seaspine,MedTech,A,database
Securian (Building Automation/Facilities Engineering),,A,pasted
Sensirion,Controls & Automation,A,database
Sentrilock Automation,Controls & Automation,A,database
Sepro Group,,A,pasted
Servo2Go,,A,pasted
Sevensense Robotics,Robotics,A,database
Shape Corp Automation,Controls & Automation,A,database
Shape Process Automation,Controls & Automation,A,database
Shennan Circuits,,A,pasted
Shibaura Machine,Robotics,A,database+pasted
Shockwave Medical,MedTech,A,database
Shutterfly Manufacturing,,A,pasted
SIASUN,Robotics,A,database
SICK,Controls & Automation,A,database+pasted
Siemens,Controls & Automation,A,database+pasted
Siemens Healthineers,MedTech,A,database
Sierra Assembly Technology,PCB & Embedded,A,database
Sierra Circuits,PCB & Embedded,A,database
Silicom,,A,pasted
Skyline Robotics,Robotics,A,database
SkySpecs,Robotics,A,database
SkyWater Technology,PCB & Embedded,A,database+pasted
SMC Corporation,Controls & Automation,A,database+pasted
Smith+Nephew,MedTech,A,database
Smiths Medical,MedTech,A,database+pasted
Socionext,PCB & Embedded,A,database
Soft Robotics,Robotics,A,database+pasted
Sonic Healthcare,MedTech,A,database
Sparton,,A,pasted
Spartronics,PCB & Embedded,A,database
Spineology,MedTech,A,database
SPS Commerce,,A,pasted
Stantec,,A,pasted
Starkey,,A,pasted
Starship Robotics,Robotics,A,database
Starship Technologies,Robotics,A,database
Staubli Robotics,Robotics,A,database+pasted
Stereotaxis,Robotics,A,database+pasted
Stratasys,,A,pasted
Straumann,MedTech,A,database
Stryker,MedTech,A,database+pasted
Summit Interconnect,PCB & Embedded,A,database+pasted
Sun Country Airlines (Aircraft Electrical Engineering),,A,pasted
Surgical Robotics Technology,Robotics,A,database
Surtel Technologies,,A,pasted
Symbotic,Robotics,A,database+pasted
Synapticon,,A,pasted
Tactile Medical,MedTech,A,database+pasted
Takeda,,A,pasted
Tandem Diabetes Care,MedTech,A,database
TDK,PCB & Embedded,A,database+pasted
TE Connectivity,PCB & Embedded,A,database+pasted
Tecan,MedTech,A,database+pasted
Technosoft Motion,,A,pasted
Teledyne LeCroy,,A,pasted
Teleflex,MedTech,A,database+pasted
Telexistence,Robotics,A,database
Tennant Company,,A,pasted
Tennibot,Robotics,A,database
Teradyne Robotics,Robotics,A,database+pasted
Terumo,MedTech,A,database
Tesco Controls,Controls & Automation,A,database
Tesla Robotics,Robotics,A,database
The Toro Company,,A,pasted
Theranica,MedTech,A,database
Thermo King,,A,pasted
Third Wave Automation,Robotics,A,database
THK,,A,pasted
Times Microwave Systems,,A,pasted
Titan Medical,Robotics,A,database+pasted
TKDA,,A,pasted
Tolomatic,Controls & Automation,A,database+pasted
Toshiba Industrial,Controls & Automation,A,database
Trinamic,,A,pasted
Trystar,,A,pasted
TTM Technologies,PCB & Embedded,A,database+pasted
TURCK USA,Controls & Automation,A,database+pasted
Ulteig,,A,pasted
Ultra Machining Company,,A,pasted
Unimicron,PCB & Embedded,A,database+pasted
United Power,,A,pasted
Unitree Robotics,Robotics,A,database
Universal Logic,,A,pasted
Universal Robots,Robotics,A,database+pasted
US Digital,,A,pasted
Vaisala,Controls & Automation,A,database+pasted
Varex Imaging,MedTech,A,database
Vecna Robotics,Robotics,A,database+pasted
Velico Medical,MedTech,A,database
Vention,Robotics,A,database+pasted
Venture Electronics,,A,pasted
Venture Solutions,,A,pasted
Veracyte,MedTech,A,database
Verity,Robotics,A,database+pasted
Vertiv,,A,pasted
VEX Robotics,,A,pasted
Viasion Technology,,A,pasted
Vicor,,A,pasted
ViewRay,MedTech,A,database
Viracon,,A,pasted
Virtual Incision,Robotics,A,database
VisionNav Robotics,Robotics,A,database+pasted
VitalPath,,A,pasted
Voliro,Robotics,A,database+pasted
Wandelbots,Robotics,A,database+pasted
Watlow,Controls & Automation,A,database+pasted
Waypoint Robotics,Robotics,A,database+pasted
Werfen,MedTech,A,database
Westinghouse Electric,,A,pasted
Westwood Professional Services,,A,pasted
Wiferion,Robotics,A,database
Winnebago Advanced Technology Group,,A,pasted
Winnebago Industries,,A,pasted
WSP,,A,pasted
Wunderlich-Malec,Controls & Automation,A,database
Wunderlich-Malec Engineering,Controls & Automation,A,database+pasted
Würth Elektronik,PCB & Embedded,A,database+pasted
Xcel Energy,,A,pasted
Xcel Energy Transmission,,A,pasted
XES Inc.,,A,pasted
Xilinx (AMD),PCB & Embedded,A,database+pasted
Yamaha Robotics,Robotics,A,database+pasted
Yaskawa America,Controls & Automation,A,database+pasted
Yaskawa Motoman,Robotics,A,database+pasted
Yaskawa Robotics,Robotics,A,database
Yokogawa,Controls & Automation,A,database
Yokogawa Corporation of America,Controls & Automation,A,database
Zebra Machine Vision,Controls & Automation,A,database
Zebra Robotics Automation,Robotics,A,database
ZEF Energy,,A,pasted
Zeus Electric Chassis,,A,pasted
Ziegler CAT,,A,pasted
Zimmer Biomet,MedTech,A,database+pasted
Zipline,Robotics,A,database
3M Health Care,MedTech,B,database
6 River Systems,Robotics,B,database
ABB Process Automation,Controls & Automation,B,database
Acacia Communications,PCB & Embedded,B,database
Actemium,Controls & Automation,B,database
Acutus Medical,MedTech,B,database
Adaptiiv Medical Technologies,MedTech,B,database
Adtran,PCB & Embedded,B,database
Advanced Assembly,PCB & Embedded,B,database
Advanced Bionics,MedTech,B,database
Advanced Cooling Therapy,MedTech,B,database
Advanced Navigation,Robotics,B,database
Advantech,PCB & Embedded,B,database
Aerin Medical,MedTech,B,database
AeroVironment,Robotics,B,database
Aesculap,MedTech,B,database
Aethlon Medical,MedTech,B,database
Aethon,Robotics,B,database
Aigen,Robotics,B,database
AirBorn,PCB & Embedded,B,database
Aitech Systems,PCB & Embedded,B,database
Align Technology,MedTech,B,database
Allegro MicroSystems,PCB & Embedded,B,database
Alpha and Omega Semiconductor,PCB & Embedded,B,database
Alphatec Spine,MedTech,B,database
Ambi Robotics,Robotics,B,database
Ambiq,PCB & Embedded,B,database
Ambu,MedTech,B,database
Ametek,PCB & Embedded,B,database
Ametek Automation,Controls & Automation,B,database
Amitron,PCB & Embedded,B,database
AMP Robotics,Robotics,B,database
Amphenol,PCB & Embedded,B,database
Anaren,PCB & Embedded,B,database
Anduril Industries,Robotics,B,database
Anki,Robotics,B,database
Ansys,PCB & Embedded,B,database
APCT Santa Clara,PCB & Embedded,B,database
Apex Controls,Controls & Automation,B,database
Applied Control Engineering,Controls & Automation,B,database
Applied Intuition,Robotics,B,database
Applied Manufacturing Technologies,Controls & Automation,B,database
Arc-Tronics,PCB & Embedded,B,database
Arduino,PCB & Embedded,B,database
Argo AI,Robotics,B,database
Arrow Electronics,PCB & Embedded,B,database
Arxium,Robotics,B,database
Ascento,Robotics,B,database
Atrion,MedTech,B,database
Aurora Flight Sciences,Robotics,B,database
Automation NTH,Controls & Automation,B,database
Automation Tooling Systems,Controls & Automation,B,database
Autonomous Solutions,Robotics,B,database
Autoware,Controls & Automation,B,database
Avanos Medical,MedTech,B,database
AVEVA Wonderware,Controls & Automation,B,database
Avinger,MedTech,B,database
Avnet,PCB & Embedded,B,database
Avular,Robotics,B,database
Axogen,MedTech,B,database
Azbil,Controls & Automation,B,database
Bachelor Controls,Controls & Automation,B,database
Bardy Diagnostics,MedTech,B,database
Barry-Wehmiller Design Group,Controls & Automation,B,database
Baylis Medical,MedTech,B,database
BeagleBoard.org,PCB & Embedded,B,database
Bear Robotics,Robotics,B,database
Beckhoff USA,Controls & Automation,B,database
Becton Dickinson,MedTech,B,database
Bedrock Automation,Controls & Automation,B,database
Belden,PCB & Embedded,B,database
Belimo,Controls & Automation,B,database
Benchmark Phoenix,PCB & Embedded,B,database
Berkshire Grey,Robotics,B,database
Berkshire Grey Robotics,Robotics,B,database
Bio-Rad Laboratories,MedTech,B,database
Bio-Techne,MedTech,B,database
Bioinduction,MedTech,B,database
BioLife Solutions,MedTech,B,database
BioMérieux,MedTech,B,database
Biosense Webster,MedTech,B,database
BioTelemetry,MedTech,B,database
BioVentrix,MedTech,B,database
Bittele,PCB & Embedded,B,database
Blackrock Neurotech,MedTech,B,database
Boston Dynamics,Robotics,B,database
Boston Scientific,MedTech,B,database
Bourns,PCB & Embedded,B,database
Brain Corp,Robotics,B,database
Bray Controls,Controls & Automation,B,database
Broadcom,PCB & Embedded,B,database
Burrow Global Automation,Controls & Automation,B,database
Butterfly Network,MedTech,B,database
Cadence,MedTech,B,database
Calumet Electronics Michigan,PCB & Embedded,B,database
Canary Labs,Controls & Automation,B,database
Canvas Construction,Robotics,B,database
CardioDiagnostics,MedTech,B,database
CardioFocus,MedTech,B,database
CardioInsight,MedTech,B,database
Cardionomic,MedTech,B,database
Carestream Health,MedTech,B,database
Carl Zeiss Meditec,MedTech,B,database
Celestica,PCB & Embedded,B,database
Celestica Toronto,PCB & Embedded,B,database
Cerebras Robotics,Robotics,B,database
Champion Technology Services,Controls & Automation,B,database
Chef Robotics,Robotics,B,database
Ciena,PCB & Embedded,B,database
Cirrus Logic,PCB & Embedded,B,database
Clarius Mobile Health,MedTech,B,database
ClearPoint Neuro,MedTech,B,database
Cobalt Robotics,Robotics,B,database
Coco Robotics,Robotics,B,database
Cognex,Controls & Automation,B,database
Colonial Circuits,PCB & Embedded,B,database
Concept Systems,Controls & Automation,B,database
ConMed,MedTech,B,database
Control Concepts,Controls & Automation,B,database
ControlTek,Controls & Automation,B,database
Cook Medical,MedTech,B,database
CooperCompanies,MedTech,B,database
COPA-DATA,Controls & Automation,B,database
CorMedix,MedTech,B,database
Cornerstone Automation Systems,Controls & Automation,B,database
CorVista Health,MedTech,B,database
Covariant,Robotics,B,database
Creation Technologies,PCB & Embedded,B,database
Creation Technologies Wisconsin,PCB & Embedded,B,database
Credo Semiconductor,PCB & Embedded,B,database
Cross Company,Controls & Automation,B,database
Cruise,Robotics,B,database
CryoLife,MedTech,B,database
Curtiss-Wright Defense Solutions,PCB & Embedded,B,database
Daimler Truck Robotics,Robotics,B,database
Danfoss,Controls & Automation,B,database
Danfoss Autonomy,Robotics,B,database
DePuy Synthes,MedTech,B,database
Dexcom,MedTech,B,database
DiaSorin,MedTech,B,database
Diligent Robotics,Robotics,B,database
Diodes Incorporated,PCB & Embedded,B,database
